"","mu","sd","gamma_prop","gamma_type","n.B.S","n.B.D","n.B.T","bias_1","bias_2","bias_3","bias_PB_S","bias_PB_D","bias_PB_T","bias_NB_S","bias_NB_D","bias_NB_T","MSE_PB_S","MSE_PB_D","MSE_PB_T","MSE_NB_S","MSE_NB_D","MSE_NB_T"
"1","1, 1, 1.2","5, 5, 5","0","NA","80","80","80","0.0057896470582175","-0.00956162531108873","0.0104109927137792","0.277918487994607","-0.0575755293081395","-0.487188189797654","0.281960520574534","-0.0498698460949396","-0.473032823995768","0.568759072532125","0.841809415613695","2.08170078304423","0.567787667907152","0.835989224308707","2.04372120268711"
"2","1, 1, 1.2","5, 5, 5","0","NA","100","100","100","0.000690064095470344","-0.00494227407234016","0.00389436793620823","0.266368134701939","-0.0725026373139299","-0.507336974822494","0.272300667570948","-0.0634256454905322","-0.494782203153387","0.552401630068711","0.830613347713478","2.0691625106805","0.555140436450738","0.824185043669007","2.0283609341021"
"3","1, 1, 1.2","5, 5, 5","0","NA","500","500","2","0.0149134494139045","0.0143332120968707","-0.00403380100947093","0.278746865165231","-0.0575031779153463","-0.476402042391139","0.284696307350427","-0.0484610373105492","-0.498194869149617","0.564604003612684","0.823972339659132","8.03757694725728","0.566745661135539","0.814237670128713","7.85780500957642"
"4","1, 1, 1.2","5, 5, 5","0","NA","1000","1000","2","-0.0113157530945776","-0.00175809483369072","0.00230861995069698","0.261522558655576","-0.0771333716693081","-0.548061887861933","0.267369865883683","-0.0680446558187053","-0.470310110914861","0.553630507668904","0.820014470864469","8.10941726158852","0.554983229209727","0.812753240230016","8.08288028730156"
