"","mu","sd","gamma_prop","gamma_type","n.B.S","n.B.D","n.B.T","bias_1","bias_2","bias_3","bias_PB_S","bias_PB_D","bias_PB_T","bias_NB_S","bias_NB_D","bias_NB_T","MSE_PB_S","MSE_PB_D","MSE_PB_T","MSE_NB_S","MSE_NB_D","MSE_NB_T"
"1","1, 1.2, 1.2","5, 5, 5","0","NA","80","80","80","0.0057896470582175","-0.00956162531108884","0.00916332502491923","0.340388852072225","0.00432305886857742","-0.426513057968674","0.345631834621912","0.0153028617474926","-0.419863814171572","0.612347089821119","0.846673679599259","2.03940921376163","0.611691613536409","0.843803161924459","2.00665015390854"
"2","1, 1.2, 1.2","5, 5, 5","0","NA","100","100","100","0.000690064095470344","-0.00494227407234016","0.00729714948531379","0.333137690222999","-0.00423450374963852","-0.438016060253295","0.339647889111777","0.00377960511928266","-0.429009675079817","0.593918745498322","0.82362542854059","2.00552363232612","0.597079728569006","0.821162824168327","1.9732161646631"
"3","1, 1.2, 1.2","5, 5, 5","0","NA","500","500","2","0.0149134494139045","0.0143332120968707","-0.00432944686152137","0.345953806063542","0.0105129118008975","-0.411240430609541","0.351781441501263","0.0202315308129721","-0.392353534045002","0.605352195457649","0.817497335303706","8.04503747277486","0.60818538560748","0.80864409396092","7.89075716412894"
"4","1, 1.2, 1.2","5, 5, 5","0","NA","1000","1000","2","-0.0113157530945776","-0.0017580948336906","-0.00099836675758036","0.327372585429523","-0.0115081441279465","-0.492646119530976","0.333137022721173","-0.00191361085330821","-0.410116679026805","0.592775502390939","0.817102300276495","8.06760663483101","0.594652047475148","0.811020223143451","7.93071577120893"
