"","mu","sd","gamma_prop","gamma_type","n.B.S","n.B.D","n.B.T","bias_1","bias_2","bias_3","bias_PB_S","bias_PB_D","bias_PB_T","bias_NB_S","bias_NB_D","bias_NB_T","MSE_PB_S","MSE_PB_D","MSE_PB_T","MSE_NB_S","MSE_NB_D","MSE_NB_T"
"1","1, 1, 1","5, 5, 5","0","NA","80","80","80","0.0057896470582175","-0.00956162531108873","0.0104109927137792","0.400432811448","0.0614272211896891","-0.372480971380693","0.404691640529339","0.070286410844091","-0.359950541364131","0.645468485347153","0.834930056562746","1.96654762003271","0.646619593653969","0.83226884062517","1.94400018078559"
"2","1, 1, 1","5, 5, 5","0","NA","100","100","100","0.000690064095470344","-0.00494227407234016","0.00389436793620823","0.390428840816763","0.0475738621604049","-0.38954359441736","0.396481589616288","0.0580479021642388","-0.375544590848337","0.630163940052606","0.819366059008809","1.95265131473952","0.634328024017876","0.815202410335364","1.91594927980268"
"3","1, 1, 1","5, 5, 5","0","NA","500","500","2","0.0149134494139045","0.0143332120968707","-0.00403380100947093","0.406029037724544","0.068693627276843","-0.343360938130933","0.411910634134007","0.077455414260206","-0.375474337013408","0.644420569322438","0.812135850932163","7.94664613384321","0.648092338956326","0.805260114003424","7.84584903035687"
"4","1, 1, 1","5, 5, 5","0","NA","1000","1000","2","-0.0113157530945776","-0.00175809483369072","0.00230861995069698","0.384870901753275","0.0430034041177256","-0.428225559618446","0.39082583020924","0.0523828116751472","-0.350435844040742","0.624890855619857","0.803209198430638","8.05345929069451","0.627860258208741","0.798199194314806","7.80324522137567"
