"","mu","sd","gamma_prop","gamma_type","n.B.S","n.B.D","n.B.T","bias_1","bias_2","bias_3","bias_PB_S","bias_PB_D","bias_PB_T","bias_NB_S","bias_NB_D","bias_NB_T","MSE_PB_S","MSE_PB_D","MSE_PB_T","MSE_NB_S","MSE_NB_D","MSE_NB_T"
"1","1, 1.1, 1.2","5, 5, 5","0","NA","80","80","80","0.0057896470582175","-0.00956162531108884","0.0103118678607639","0.306970758147473","-0.0295043685782486","-0.461316826799755","0.311126371753377","-0.0200765440151347","-0.453705549147448","0.586412477662395","0.844753561558854","2.06470333577414","0.586339149162474","0.838061436936853","2.02959040634978"
"2","1, 1.1, 1.2","5, 5, 5","0","NA","100","100","100","0.000690064095470344","-0.00494227407234016","0.00414738998146191","0.295455449131003","-0.0438366134053918","-0.480935947291123","0.30166141404561","-0.0362736981447189","-0.466918155192297","0.566359425336974","0.819271467100957","2.03451751275753","0.569522614704404","0.816478890997262","2.0014026706474"
"3","1, 1.1, 1.2","5, 5, 5","0","NA","500","500","2","0.0149134494139045","0.0143332120968707","-0.0038496668263166","0.310545721500417","-0.0258939819129409","-0.449494933315698","0.316441401771596","-0.0155635880521878","-0.444195917640344","0.579038439592399","0.812880832166022","8.05245267574621","0.581671729135357","0.805066553612013","7.88826167456858"
"4","1, 1.1, 1.2","5, 5, 5","0","NA","1000","1000","2","-0.0113157530945776","-0.0017580948336906","0.000630180333118346","0.292732152944423","-0.0461935051704345","-0.526106731676206","0.298428186473046","-0.0366455120409437","-0.44226979609539","0.570401435308008","0.815386008063339","8.03335266738914","0.571818881948641","0.808863764504896","7.99289684230697"
