"","mu","sd","gamma_prop","gamma_type","bias_1","bias_2","bias_3","bias_naive","bias_PB_S","bias_PB_D","bias_PB_D_S","bias_NB_S","bias_NB_D","bias_NB_D_S","bias_JK","bias_L","MSE_naive","MSE_PB_S","MSE_PB_D","MSE_PB_D_S","MSE_NB_S","MSE_NB_D","MSE_NB_D_S","MSE_JK","MSE_L"
"1","1, 1, 1","5, 5, 5","0","NA","0.0057896470582175","-0.00956162531108873","0.0104109927137792","0.674005154503635","0.400432811448","0.0614272211896891","0.143738831824895","0.405595780461823","0.0703443964261712","0.143903584149221","0.350407993208554","0.183876035838934","0.804890765988178","0.645468485347153","0.834930056562746","0.33136948571073","0.646298687586718","0.827156191683779","0.330659455905258","1.15070468877735","0.34842720555709"
"2","1, 1, 1.2","5, 5, 5","0","NA","0.000690064095470344","-0.00494227407234016","0.00389436793620823","0.541049003523837","0.266609614452598","-0.0733839588467429","0.0106670675955685","0.272307126481238","-0.0643122283506032","0.00918187640063906","0.215752692443845","0.0509563340278769","0.641857125936318","0.553832109802334","0.835350002889581","0.308709482414198","0.554733668255835","0.828083141340822","0.305983310320315","1.0671242207025","0.316002167889906"
"3","1, 1.1, 1.2","5, 5, 5","0","NA","0.0149134494139045","0.0143332120968707","-0.0038496668263166","0.583781713011172","0.310849007847986","-0.0260983027480102","0.0482558753789357","0.315742620075164","-0.0174037125366315","0.0491930405657008","0.265175597827613","0.092690631960495","0.693673437598988","0.58321445100941","0.83569609356208","0.310323695289684","0.584610665027633","0.831594436716084","0.309087991046422","1.0895105296115","0.324919528342734"
"4","1, 1.2, 1.2","5, 5, 5","0","NA","-0.0113157530945776","-0.0017580948336906","-0.00099836675758036","0.602480580033722","0.327331394578467","-0.0089684605170981","0.0672889805509562","0.333316025558335","-0.00225500476238794","0.0687367337448084","0.269663313135089","0.111406644047872","0.718373134103907","0.599135651001609","0.847769064957691","0.314130085732282","0.599804260424672","0.840481400461737","0.315428150582545","1.1390279377261","0.330593210176176"
