"","mu","sd","gamma_prop","gamma_type","bias_1","bias_2","bias_3","bias_naive","bias_PB_S","bias_PB_D","bias_PB_D_S","bias_NB_S","bias_NB_D","bias_NB_D_S","bias_JK","bias_L","MSE_naive","MSE_PB_S","MSE_PB_D","MSE_PB_D_S","MSE_NB_S","MSE_NB_D","MSE_NB_D_S","MSE_JK","MSE_L"
"1","1, 1.1, 1.2","5, 5, 5","0.1","gamma","0.00488435904636497","-0.00792889614707049","0.00958030543215171","0.515425566428403","0.268507926925674","-0.0364680940434803","0.0341461764741822","0.273323249899332","-0.0307987959860627","0.0338925357862239","0.219617570133454","0.072626001056431","0.558237415924965","0.477253504834118","0.694104581769882","0.260413549635487","0.477807119081438","0.684132065095684","0.259737760268283","0.912324706831745","0.268443405969409"
"2","1, 1.1, 1.2","5, 5, 5","0.2","gamma","0.00174880083108864","-0.00276437873629987","0.00272761409642408","0.458484940088787","0.232077464787322","-0.0486615169080884","0.0198511563681898","0.23665502772574","-0.040345052479722","0.0187121650144988","0.192064349555095","0.0544796456371985","0.451313482211125","0.385793984810883","0.568696037701158","0.212405992648676","0.38717036036977","0.566626389447757","0.210088067512143","0.734975584927542","0.218098298854351"
"3","1, 1.1, 1.2","5, 5, 5","0.3","gamma","0.0121928359376555","0.0139126034495511","-5.63267341322504e-05","0.427510727538973","0.220018103388673","-0.0360798603853831","0.0214892467443699","0.224019135052346","-0.030161934418194","0.0220674127041041","0.186140610553603","0.0583093826765222","0.402836462833982","0.342324394275884","0.49379890229451","0.190721346024076","0.34534493863639","0.493525909524247","0.190203146718124","0.621211043113582","0.19957835857558"
"4","1, 1.1, 1.2","5, 5, 5","0.5","gamma","-0.0152669855068166","-0.0020778273913149","0.00599414698363088","0.388176263839703","0.200719480982905","-0.0284294719851899","0.0202939411057739","0.208561036114669","-0.0186390604415712","0.0236916032549139","0.159258787162556","0.0688820737327267","0.388419338333723","0.32327911217286","0.441062423942403","0.197386554971591","0.331168936119494","0.446555219621517","0.199335868114697","0.507100411784315","0.213332587225775"
