"","mu","sd","gamma_prop","gamma_type","bias_1","bias_2","bias_3","bias_naive","bias_PB_S","bias_PB_D","bias_PB_D_S","bias_NB_S","bias_NB_D","bias_NB_D_S","bias_JK","bias_L","MSE_naive","MSE_PB_S","MSE_PB_D","MSE_PB_D_S","MSE_NB_S","MSE_NB_D","MSE_NB_D_S","MSE_JK","MSE_L"
"1","1, 1.1, 1.2","5, 5, 5","0.1","unif","0.00466053790475263","0.0024681058677396","-0.00423877798026284","0.506466061932576","0.256525148697426","-0.0510345813766098","0.0254026835964336","0.26138050162127","-0.0441984884915314","0.0260249704782805","0.209973724409128","0.0648262308104586","0.540874679726737","0.460861339457424","0.68295356091239","0.247710670459745","0.461041967275354","0.675880793883705","0.247309306728064","0.904931923574541","0.257999940619189"
"2","1, 1.1, 1.2","5, 5, 5","0.2","unif","0.00167852917490241","-0.00619833175049722","0.00157946602788317","0.453809498550945","0.227085945002294","-0.0517945243289584","0.0137953848822026","0.230574514554051","-0.0431945076726685","0.013943776778381","0.187944679684636","0.0482499235470244","0.445993372013254","0.383305754345885","0.570509895107364","0.211325009348459","0.382813405216377","0.564228560944977","0.210801039116039","0.73603058082043","0.217285190759149"
"3","1, 1.1, 1.2","5, 5, 5","0.3","unif","0.00976299550079229","0.00537364955650932","1.34230040462757e-05","0.414778103015106","0.203920919970746","-0.0571871984541092","0.00848558823187884","0.208134186840881","-0.050650343958156","0.00881972724796376","0.158703544832977","0.0425081653693877","0.371746120767621","0.320329704908227","0.487567655869887","0.172922484642526","0.321267531196469","0.480286686485294","0.173235238935136","0.644134035198602","0.178760437342013"
"4","1, 1.1, 1.2","5, 5, 5","0.5","unif","-0.00655466556425799","4.8348473794313e-05","-0.00768948746132492","0.375494027667293","0.1820401877222","-0.0547196295666472","-0.00265259273895624","0.186085945828193","-0.0508253377342409","-0.00204647551456416","0.148933890335339","0.0297743932771881","0.315508243502691","0.274026325930119","0.414842661948806","0.153833743658707","0.27329486738607","0.409652641019736","0.153069924851521","0.542056329223067","0.158022072854023"
