"","mu","sd","gamma_prop","gamma_type","bias_1","bias_2","bias_3","bias_naive","bias_PB_S","bias_PB_D","bias_PB_D_S","bias_NB_S","bias_NB_D","bias_NB_D_S","bias_JK","bias_L","MSE_naive","MSE_PB_S","MSE_PB_D","MSE_PB_D_S","MSE_NB_S","MSE_NB_D","MSE_NB_D_S","MSE_JK","MSE_L"
"1","1, 1, 1","3, 4, 5","0","NA","0.0034737882349305","-0.00349416793505319","0.0080590127924216","0.54765895360478","0.323886832266556","0.0478151197063443","0.176542525111649","0.328280727426303","0.0545221573651367","0.17806811463479","0.276847916536247","0.255992916836629","0.546597363946847","0.442868397747091","0.57867074787749","0.289436954842476","0.442520430206742","0.570790530872745","0.291155232360201","0.796359434816018","0.318256963392358"
"2","1, 1, 1.2","3, 4, 5","0","NA","0.000414038457282162","-0.00905745363116439","0.00360028761550879","0.423827645037731","0.202726933375839","-0.0688180242599978","0.0534837592229886","0.206373633442443","-0.0601817312426727","0.0532326842909305","0.1662695758412","0.129958697482412","0.447016991493527","0.408866869053135","0.622927047238648","0.287779796677802","0.408190082933313","0.616480444020963","0.284921066460156","0.759310536857053","0.29515725291232"
"3","1, 1.1, 1.2","3, 4, 5","0","NA","0.0089480696483426","0.0137785829587895","-0.0039629860585233","0.463046511024553","0.241283842017357","-0.032041246857933","0.0904238986689039","0.245291006497689","-0.0233377803549077","0.0925327825564151","0.204270081453962","0.17139945803981","0.485541196799929","0.429012796560793","0.6249190351122","0.292905103062684","0.429442357597876","0.623413299930434","0.291770300022028","0.781788415596935","0.310718756343032"
"4","1, 1.2, 1.2","3, 4, 5","0","NA","-0.00678945185674651","-0.00374996471211864","0.00751064450957117","0.489938821696829","0.266277081513403","-0.00728739826022617","0.114233034476222","0.270869721100652","-0.00145880799245157","0.116962425539649","0.214354482929374","0.198729760130844","0.511205855876636","0.442954668515294","0.627281006914727","0.296132122729976","0.442744850054183","0.623352455696285","0.295607028678965","0.829797159518434","0.319553956307903"
