"","mu","sd","gamma_prop","gamma_type","bias_1","bias_2","bias_3","bias_naive","bias_PB_S","bias_PB_D","bias_PB_D_S","bias_NB_S","bias_NB_D","bias_NB_D_S","bias_JK","bias_L","MSE_naive","MSE_PB_S","MSE_PB_D","MSE_PB_D_S","MSE_NB_S","MSE_NB_D","MSE_NB_D_S","MSE_JK","MSE_L"
"1","1, 1.1, 1.2","5, 5, 5","0.1","unif","-0.244525701527663","-0.273691227024758","0.546852074881839","0.546852074881839","0.308903596009144","0.0197405042791055","0.0561134899603597","0.314084109926011","0.029802747085997","0.0576490458546015","0.282081897311458","0.096363776973428","0.592333675136663","0.501576342884456","0.693131492296269","0.261961524975082","0.504050302219828","0.691293032947455","0.263585150775018","0.918182843095773","0.272592615248327"
"2","1, 1.1, 1.2","5, 5, 5","0.2","unif","-0.226233166499042","-0.258069043618486","0.491735406862908","0.491735406862908","0.278609198160789","0.0201793363048033","0.0395388222519799","0.282591857308568","0.02555808414918","0.0401410542385239","0.253407330353154","0.0764565970194169","0.487615829915172","0.415138117041194","0.56838989758221","0.22907850203674","0.414587736224227","0.565790793465408","0.227070612857255","0.741622054429254","0.234513059882704"
"3","1, 1.1, 1.2","5, 5, 5","0.3","unif","-0.197879611923399","-0.233379323888392","0.444545407457563","0.444545407457563","0.245247265878058","0.00327912355180571","0.0246767181126173","0.250259640605012","0.0104407988661301","0.0246935528053072","0.218630307883021","0.0619916484586245","0.401952507858108","0.344359180960307","0.490344175675364","0.183118215841118","0.345353673633994","0.477462984835896","0.183797946562189","0.628275616619419","0.188517017346798"
"4","1, 1.1, 1.2","5, 5, 5","0.5","unif","-0.201033705144669","-0.238748056731628","0.395587037318877","0.395587037318877","0.211924500802101","-0.00553430180728198","0.00704338854009978","0.216367121289441","-0.00418811326416857","0.00832529754589761","0.184928684376108","0.0413607879784288","0.339015243182728","0.295219159247831","0.425336298085437","0.16418575603229","0.295432662520933","0.418970965702889","0.164833383803436","0.558340958445275","0.169775564583846"
