"","mu","sd","gamma_prop","gamma_type","bias_1","bias_2","bias_3","bias_naive","bias_PB_S","bias_PB_D","bias_PB_D_S","bias_NB_S","bias_NB_D","bias_NB_D_S","bias_JK","bias_L","MSE_naive","MSE_PB_S","MSE_PB_D","MSE_PB_D_S","MSE_NB_S","MSE_NB_D","MSE_NB_D_S","MSE_JK","MSE_L"
"1","1, 1, 1","5, 5, 5","0","NA","-0.325163202108644","-0.333365779832716","0.681139889482157","0.681139889482157","0.40558057908824","0.0664299755029198","0.150466907423259","0.412821057737427","0.0741301816181534","0.150654024591609","0.363770792955814","0.194222599413903","0.813066022676068","0.648535137707432","0.835441947001182","0.332904025403993","0.648394195252365","0.824515172812405","0.334257494377469","1.1273398344035","0.35117220590548"
"2","1, 1, 1.2","5, 5, 5","0","NA","-0.300246546247268","-0.309290547866676","0.57608355326082","0.57608355326082","0.318416296969815","0.00640298412488916","0.0343720646200507","0.325476736078151","0.0181877255984335","0.0321766871217235","0.290147356217101","0.0754162277925758","0.69323579153565","0.602310445893883","0.841835234323305","0.335684785172619","0.603772918648087","0.840909954329762","0.332541590735515","1.06857044506355","0.34045485715641"
"3","1, 1.1, 1.2","5, 5, 5","0","NA","-0.26922778236582","-0.330271085887476","0.61584955396872","0.61584955396872","0.355336347987633","0.0368186342256895","0.0699749899989286","0.360439449763843","0.047816867964448","0.0714894138194031","0.31711250787661","0.117188079455171","0.738707929693255","0.622130219210594","0.849955105429652","0.329828546392976","0.623564426847263","0.841470050891293","0.32931862616536","1.09877264061978","0.344094842271068"
"4","1, 1.2, 1.2","5, 5, 5","0","NA","-0.269257183729267","-0.346980893812665","0.633711906263091","0.633711906263091","0.365044963128911","0.0390076012235054","0.089254895247028","0.371688456194426","0.0489714975352928","0.0930927196730882","0.31075040411909","0.138942578093541","0.758234953049779","0.632836306823872","0.866987428989502","0.321374324528381","0.632458376193624","0.849443099974265","0.322278573260926","1.14828660060114","0.339674419577104"
