"","mu","sd","gamma_prop","gamma_type","bias_1","bias_2","bias_3","bias_naive","bias_PB_S","bias_PB_D","bias_PB_D_S","bias_NB_S","bias_NB_D","bias_NB_D_S","bias_JK","bias_L","MSE_naive","MSE_PB_S","MSE_PB_D","MSE_PB_D_S","MSE_NB_S","MSE_NB_D","MSE_NB_D_S","MSE_JK","MSE_L"
"1","1, 1, 1","3, 4, 5","0","NA","-0.123532376957876","-0.220248509765577","0.714921803922824","0.714921803922824","0.493237852762663","0.224267048427534","0.341313650519923","0.498083901790056","0.227338163141123","0.343698824907432","0.438655928657154","0.422036940290533","0.811266066604326","0.667759492906353","0.776843434965875","0.439668580662284","0.666973589335483","0.770526652963939","0.442765368890254","1.07619509991155","0.488735532105255"
"2","1, 1, 1.2","3, 4, 5","0","NA","-0.118123698482005","-0.21140822991899","0.594641883299427","0.594641883299427","0.393301892526804","0.152849185920377","0.218956769992265","0.395960632298562","0.161184925565519","0.218308980755429","0.370675799129","0.298377157246356","0.660268341715669","0.586002178087234","0.7419864642234","0.399733203632599","0.585605716399667","0.740926064668798","0.394740050515652","0.930395808297995","0.419834496176892"
"3","1, 1.1, 1.2","3, 4, 5","0","NA","-0.0963240208886089","-0.216488862150731","0.635653572772777","0.635653572772777","0.431098926780523","0.186189429463518","0.257436228509768","0.4344925159555","0.193655758270252","0.259987328644069","0.418717962502146","0.339386322117418","0.707312610758754","0.60851206928488","0.742237732630583","0.405163914939387","0.607228540447622","0.748796584988194","0.403596439080736","0.924136685642073","0.44155163366887"
"4","1, 1.2, 1.2","3, 4, 5","0","NA","-0.0921439425820596","-0.240607249382","0.648270039436741","0.648270039436741","0.434058632053645","0.173803685256063","0.267849236796066","0.438412737993584","0.180308981788744","0.271817999680142","0.392884677862062","0.35476902788819","0.724760551601317","0.61700488377936","0.750054337961502","0.403964899669267","0.614527129181735","0.75138773197553","0.402759415358204","1.0028393414312","0.448575575480322"
