"","mu","sd","gamma_prop","gamma_type","bias_1","bias_2","bias_3","bias_naive","bias_PB_S","bias_PB_D","bias_PB_D_S","bias_NB_S","bias_NB_D","bias_NB_D_S","bias_JK","bias_L","MSE_naive","MSE_PB_S","MSE_PB_D","MSE_PB_D_S","MSE_NB_S","MSE_NB_D","MSE_NB_D_S","MSE_JK","MSE_L"
"1","1, 1.1, 1.2","5, 5, 5","0.1","gamma","-0.248917067785095","-0.290352512836855","0.547644191144182","0.547644191144182","0.311423878555854","0.024780320631383","0.0558011972292327","0.316941750372937","0.0288388540237074","0.0566635893718328","0.277873437108928","0.0979189438482446","0.605775669727665","0.518511135652146","0.71980199112973","0.278621878236623","0.520135743611498","0.698512756010824","0.279948572333647","0.924253423501688","0.28795231579107"
"2","1, 1.1, 1.2","5, 5, 5","0.2","gamma","-0.229803524187576","-0.278628895938527","0.48280078606901","0.48280078606901","0.270212512299746","0.0096589527710198","0.0351285069452247","0.27411116091388","0.0222477319273","0.0343807668058893","0.252073468778869","0.0718794058992149","0.477292250064412","0.410470917192718","0.564258354383497","0.226538110333315","0.412055901802705","0.571274245955792","0.224010165547386","0.71505141607799","0.232343168786533"
"3","1, 1.1, 1.2","5, 5, 5","0.3","gamma","-0.195941855530266","-0.238400456597597","0.449595408563637","0.449595408563637","0.251900272668849","0.0117478775431155","0.0425228933086239","0.256578067270181","0.0177988274319689","0.043420780767256","0.232706819371487","0.082217677716087","0.429970514081643","0.36816216106891","0.503697183190367","0.210189636507176","0.371007778683398","0.505346392591589","0.210299040286656","0.619282807177481","0.218812448947891"
"4","1, 1.1, 1.2","5, 5, 5","0.5","gamma","-0.198903538254015","-0.241499904860095","0.409067859949879","0.409067859949879","0.236059948414479","0.0293441412657991","0.0553424614155078","0.241967063606848","0.0392956950208461","0.0580297009540731","0.210261844818189","0.111266894060782","0.398870282011565","0.336636379274039","0.443484021426726","0.220766139682087","0.343354471536697","0.45017194480318","0.219804519196389","0.506191923369929","0.237567071758182"
