"","mu","sd","gamma_prop","gamma_type","bias_1","bias_2","bias_3","bias_4","bias_naive","bias_PB_S","bias_PB_D","bias_PB_D_S","bias_NB_S","bias_NB_D","bias_NB_D_S","bias_JK","bias_L","MSE_naive","MSE_PB_S","MSE_PB_D","MSE_PB_D_S","MSE_NB_S","MSE_NB_D","MSE_NB_D_S","MSE_JK","MSE_L"
"1","1, 1, 1, 1","5, 5, 5, 5","0","NA","0.0057896470582175","-0.00956162531108873","0.0104109927137792","-0.00045391813433715","0.674005154503635","0.477872645110373","0.0610542670795358","0.12604073258249","0.482077774748263","0.0731025723081422","0.127699704445573","0.413092373965454","0.192624017022353","0.804890765988178","0.687509455379693","0.868687320505429","0.264293283115703","0.691138285531307","0.857985173139686","0.266014056873883","1.30443859137001","0.302903579026893"
"2","1, 1, 1, 1.2","5, 5, 5, 5","0","NA","0.000690064095470344","-0.00494227407234016","0.00389436793620823","-0.000358806572440695","0.467220307570626","0.335918030486764","-0.0780614269509969","-0.0189064792353697","0.342392518111453","-0.0650263486558751","-0.0183874691306991","0.264948315095817","0.0468249119850053","0.565003199231872","0.579097163757966","0.879852960056142","0.257179200922061","0.582105870067799","0.868693436883591","0.254925320310762","1.21938403325355","0.271240564228074"
"3","1, 1.05, 1.1, 1.2","5, 5, 5, 5","0","NA","0.0149134494139045","0.0143332120968707","-0.003003806966692","0.00477799248697064","0.530709186879575","0.382923025846475","-0.0290046060078641","0.0235847836116976","0.390016932268393","-0.018076212026461","0.0241180701304056","0.316837440081636","0.0929782803246939","0.634269736421032","0.61035787581858","0.858283489297776","0.258267727584953","0.613537786626923","0.850050222736754","0.255368020995421","1.23048840249041","0.283496318709702"
"4","1, 1.1, 1.2, 1.2","5, 5, 5, 5","0","NA","-0.0113157530945776","-0.00175809483369083","0.000630180333118346","0.00076929071452625","0.567975330398554","0.411638895023027","0.0042509880787569","0.0516238262979083","0.418719887712942","0.01257291064622","0.0534967310262149","0.360489942605479","0.118149825120152","0.678279780250319","0.635002083863067","0.864200389814712","0.261352062827904","0.638516513807973","0.850472114420121","0.262236326478651","1.23837905748386","0.288797096074497"
